,zip_cd,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,eligible_population,clusters_pca,clusters_label
565,47454,295,10356,3848,2036,6748,2,Medium
566,47455,3,119,44,23,76,0,Low
567,47456,65,1393,539,290,1295,0,Low
568,47457,7,39,16,8,179,0,Low
569,47458,2,91,34,18,58,0,Low
570,47459,122,4571,1731,896,3370,0,Low
571,47460,475,15028,5603,3036,10350,2,Medium
572,47462,303,6057,2380,1164,4531,0,Low
573,47464,11,246,101,41,196,0,Low
574,47465,27,846,327,152,501,0,Low
575,47467,4,41,16,8,107,0,Low
576,47468,58,2417,844,558,1485,0,Low
577,47469,72,2185,819,453,1734,0,Low
578,47470,75,1556,612,285,1463,0,Low
579,47471,82,2895,1097,564,2519,0,Low
580,47501,1199,20144,8058,3634,16710,1,High
581,47512,113,3934,1515,727,3890,0,Low
582,47513,96,2463,953,485,1943,0,Low
583,47514,39,2739,1008,615,1556,0,Low
584,47515,33,1014,383,208,848,0,Low
585,47516,52,1628,630,305,1057,0,Low
586,47519,16,410,159,81,843,0,Low
587,47520,110,4326,1592,866,2661,0,Low
588,47521,48,1348,516,290,664,0,Low
589,47522,12,277,111,43,393,0,Low
590,47523,124,4506,1730,834,3149,0,Low
591,47524,11,580,229,99,531,0,Low
592,47525,13,694,252,138,281,0,Low
593,47527,67,2306,890,454,1761,0,Low
594,47528,13,733,263,153,480,0,Low
595,47529,44,948,379,178,1105,0,Low
596,47531,41,1340,506,262,915,0,Low
597,47532,155,7113,2653,1451,4114,2,Medium
598,47535,12,674,246,132,720,0,Low
599,47536,0,0,0,0,0,0,Low
600,47537,38,1053,390,217,848,0,Low
601,47541,66,1645,627,341,1134,0,Low
602,47542,610,13489,5308,2593,9413,2,Medium
603,47546,1321,35341,13416,7297,20107,1,High
604,47550,33,1022,389,204,521,0,Low
605,47551,22,883,326,182,867,0,Low
606,47552,10,248,96,49,270,0,Low
607,47553,411,7884,3145,1467,8116,2,Medium
608,47557,36,1448,550,272,1480,0,Low
609,47558,125,1871,752,371,3899,2,Medium
610,47561,150,1837,749,316,1546,0,Low
611,47562,128,3688,1402,724,4365,2,Medium
612,47564,51,1582,608,321,1188,0,Low
613,47567,133,6959,2643,1288,5908,2,Medium
614,47568,45,835,340,141,787,0,Low
615,47574,9,294,103,60,213,0,Low
616,47575,50,1422,542,298,920,0,Low
617,47576,15,498,194,99,309,0,Low
618,47577,36,1607,600,312,1181,0,Low
619,47578,18,878,331,182,687,0,Low
620,47579,135,4397,1648,883,2423,0,Low
621,47580,7,388,148,84,406,0,Low
622,47581,172,3675,1450,692,3497,0,Low
623,47584,5,153,57,29,129,0,Low
624,47585,14,462,179,86,742,0,Low
625,47586,455,18211,6566,3770,10231,2,Medium
626,47588,20,904,331,182,595,0,Low
627,47590,14,759,296,139,413,0,Low
628,47591,894,34137,12913,6353,23863,1,High
629,47596,3,111,41,22,71,0,Low
630,47597,27,1077,410,193,835,0,Low
631,47598,107,3333,1270,631,2754,0,Low
632,47601,299,20713,7716,4000,13197,2,Medium
633,47610,140,7738,2892,1488,5128,2,Medium
634,47611,43,1602,591,319,1399,0,Low
635,47612,18,1173,436,226,657,0,Low
636,47613,78,3937,1489,766,3057,0,Low
637,47615,59,1889,710,392,1738,0,Low
638,47616,6,458,168,95,261,0,Low
639,47619,38,2385,877,492,1625,0,Low
640,47620,223,19437,7110,3878,12530,2,Medium
641,47630,763,72325,26068,14948,33965,1,High
642,47631,21,3241,1149,670,2113,0,Low
